team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
Saints,00-0037660,0.0,Saints,-0.002,41.20%,Prince Emili,DT,0.0441882804995196,2022.0,prince emili,prince emili,prince emili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0035455,0.0,Saints,-0.002,41.20%,Albert Huggins,DT,0.4298751200768492,2022.0,albert huggins,albert huggins,albert huggins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0036805,0.0,Seahawks,-0.019,50.00%,Jarrod Hewitt,DT,0.0165706051873198,2022.0,jarrod hewitt,,jarrod hewitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0036505,25.91049873828526,Steelers,-0.009,52.90%,Jonathan Marshall,DT,0.0880557156580211,2022.0,jonathan marshall,jonathan marshall,jonathan marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0037309,24.854614499248807,Titans,-0.081,41.20%,Curtis Brooks,DT,0.0055235350624399,2022.0,curtis brooks,,curtis brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0038882,0.0,49ers,0.26,70.00%,Spencer Waege,DT,0.0427046263345195,2023.0,spencer waege,,spencer waege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0036507,0.0,Bears,0.0,41.20%,Michael Dwumfour,DT,0.0373665480427046,2023.0,michael dwumfour,michael dwumfour,michael dwumfour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0036093,0.0,Bears,0.0,41.20%,Bill Murray,DT,0.096085409252669,2023.0,bill murray,,bill murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0036148,0.0,Bengals,-0.04,52.90%,Domenique Davis,DT,0.0106761565836298,2023.0,domenique davis,domenique davis,domenique davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0038893,0.0,Bengals,-0.04,52.90%,Devonnsha Maxwell,DT,0.2038847864768683,2023.0,devonnsha maxwell,,devonnsha maxwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0033598,0.0,Bills,0.19,63.20%,Eli Ankou,DT,0.0787811387900355,2023.0,eli ankou,eli ankou,eli ankou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0035850,0.0,Bills,0.19,63.20%,Kameron Cline,DT,0.096085409252669,2023.0,kameron cline,kameron cline,kameron cline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0037294,32.83476653834535,Broncos,-0.07,47.10%,Jordan Jackson,DT,0.096085409252669,2023.0,jordan jackson,jordan jackson,jordan jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0035857,0.0,Browns,0.05,61.10%,Chris Williams,DT,0.0160142348754448,2023.0,chris williams,chris williams,chris williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0036705,0.0,Browns,0.05,61.10%,Sam Kamara,DT,0.4138247330960855,2023.0,sam kamara,sam kamara,sam kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0037662,0.0,Buccaneers,-0.01,52.60%,C.J. Brewer,DT,0.0266903914590747,2023.0,cj brewer,cj brewer,cj brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0038708,0.0,Cardinals,-0.18,23.50%,Jacob Slade,DT,0.0106761565836298,2023.0,jacob slade,,jacob slade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0031619,5.018060123497811,Chargers,-0.08,29.40%,Christian Covington,DT,0.1649466192170818,2023.0,christian covington,christian covington,christian covington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0038861,0.0,Chargers,-0.08,29.40%,Jerrod Clark,DT,0.096085409252669,2023.0,jerrod clark,jeremy clark,jeremy clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0037309,22.489385209779417,Commanders,-0.21,23.50%,Curtis Brooks,DT,0.2001779359430605,2023.0,curtis brooks,,curtis brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0036447,0.0,Commanders,-0.21,23.50%,David Bada,DT,0.2001779359430605,2023.0,david bada,david bada,david bada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0035278,39.24683042562679,Dolphins,0.13,61.10%,Byron Cowart,DT,0.1145907473309608,2023.0,byron cowart,byron cowart,byron cowart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0037134,0.0,Eagles,0.0,61.10%,Noah Elliss,DT,0.0587188612099644,2023.0,noah elliss,,noah elliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0036883,65.39996326666024,Falcons,-0.04,41.20%,Tommy Togiai,DT,0.06969128113879,2023.0,tommy togiai,tommy togiai,tommy togiai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0036352,13.590306994889724,Falcons,-0.04,41.20%,Carlos Davis,DT,0.0160142348754448,2023.0,carlos davis,carlos davis,carlos davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0037551,0.0,Jets,-0.12,41.20%,Manny Jones,DT,0.0160142348754448,2023.0,manny jones,manny jones,manny jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0036642,40.19807994414103,Packers,0.05,52.60%,Tedarrell Slaton,DT,0.4493460854092527,2023.0,tedarrell slaton,terrell mcclain,terrell mcclain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0037094,16.283148576434527,Packers,0.05,52.60%,Jonathan Ford,DT,0.096085409252669,2023.0,jonathan ford,jonathan ford,jonathan ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0035004,10.582361268792354,Packers,0.05,52.60%,Chris Slayton,DT,0.096085409252669,2023.0,chris slayton,zach clayton,zach clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0036007,0.0,Panthers,-0.17,11.80%,Raequan Williams,DT,0.096085409252669,2023.0,raequan williams,raequan williams,raequan williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0037603,0.0,Panthers,-0.17,11.80%,Jayden Peevy,DT,0.0693950177935943,2023.0,jayden peevy,jayden peevy,jayden peevy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0037363,0.0,Raiders,-0.05,47.10%,Marquan McCall,DT,0.0160142348754448,2023.0,marquan mccall,marquan mccall,marquan mccall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0035933,0.0,Rams,0.04,55.60%,Mike Hoecht,DT,0.4181494661921708,2023.0,mike hoecht,michael hoecht,michael hoecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0036311,31.087228758846692,Ravens,0.21,73.70%,Bravvion Roy,DT,0.1649466192170818,2023.0,bravvion roy,bravvion roy,bravvion roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0037181,0.0,Ravens,0.21,73.70%,Rayshad Nichols,DT,0.096085409252669,2023.0,rayshad nichols,rayshad nichols,rayshad nichols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0036238,25.575534154318916,Saints,0.08,52.90%,John Penisini,DT,0.0266903914590747,2023.0,john penisini,john penisini,john penisini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0035094,0.0,Seahawks,-0.04,52.90%,Bryan Mone,DT,1.6347864768683271,2023.0,bryan mone,bryan mone,bryan mone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0037152,0.0,Seahawks,-0.04,52.90%,Matthew Gotel,DT,0.0053380782918149,2023.0,matthew gotel,matthew butler,matthew butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0035260,58.00471016862975,Steelers,-0.03,55.60%,Renell Wren,DT,0.2112989323843416,2023.0,renell wren,renell wren,renell wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0036505,23.444788778374026,Steelers,-0.03,55.60%,Jonathan Marshall,DT,0.096085409252669,2023.0,jonathan marshall,jonathan marshall,jonathan marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0035927,0.0,Steelers,-0.03,55.60%,Breiden Fehoko,DT,0.0572953736654804,2023.0,breiden fehoko,breiden fehoko,breiden fehoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0036373,60.041298046698145,Texans,0.02,57.90%,Rashard Lawrence,DT,0.0429715302491103,2023.0,rashard lawrence,rashard lawrence,rashard lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0035985,0.0,Titans,-0.07,35.30%,David Moa,DT,0.0106761565836298,2023.0,david moa,david moa,david moa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0038842,0.0,Titans,-0.07,35.30%,Shakel Brown,DT,0.2031432384341637,2023.0,shakel brown,fadol brown,fadol brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0036337,60.47952520331469,Vikings,-0.02,41.20%,James Lynch,DT,0.5261338967971531,2023.0,james lynch,james lynch,james lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0038634,16.886564853052036,49ers,0.02174647007,35.30%,Nesta Jade Silvera,DT,0.0538371182458888,2024.0,nesta jade silvera,nesta jade silvera,nesta jade silvera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0039761,0.0,Bears,-0.08766408568,29.40%,Dashaun Mallory,DT,0.0783085356303837,2024.0,dashaun mallory,,dashaun mallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0036148,0.0,Bengals,0.04236154557,52.90%,Domenique Davis,DT,0.0097885669537979,2024.0,domenique davis,domenique davis,domenique davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0039570,0.0,Broncos,0.1355160561,55.60%,Jordan Miller,DT,0.0880971025841816,2024.0,jordan miller,jordan miller,jordan miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0038795,0.0,Cardinals,0.01573369863,47.10%,P.J. Mustipher,DT,0.0880971025841816,2024.0,pj mustipher,pj mustipher,pj mustipher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0037375,0.0,Chargers,0.08650381147,61.10%,Christopher Hinton,DT,0.0880971025841816,2024.0,christopher hinton,christopher hinton,christopher hinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0038561,108.97413217440103,Chiefs,0.0383547092,85.00%,Siaki Ika,DT,0.0195771339075959,2024.0,siaki ika,siaki ika,siaki ika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0039319,0.0,Chiefs,0.0383547092,85.00%,Fabien Lovett,DT,0.0880971025841816,2024.0,fabien lovett,,fabien lovett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0039682,0.0,Commanders,0.1328873341,70.00%,Norell Pollard,DT,0.1846773688332028,2024.0,norell pollard,,norell pollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0037665,175.3359632923575,Cowboys,-0.1874393508,41.20%,Sam Williams,DT,0.5817216131558339,2024.0,sam williams,jamal williams,jamal williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0036982,106.8894754174256,Cowboys,-0.1874393508,41.20%,Chauncey Golston,DT,0.6125172278778387,2024.0,chauncey golston,chauncey golston,chauncey golston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0039432,15.92636123348018,Cowboys,-0.1874393508,41.20%,Justin Rogers,DT,0.0518797963978073,2024.0,justin rogers,justin jones,justin jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0038842,0.0,Dolphins,-0.03099899621,47.10%,Shakel Brown,DT,0.0489428347689898,2024.0,shakel brown,fadol brown,fadol brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0038978,156.85018541682646,Eagles,0.2151322403,85.70%,Byron Young,DT,0.3945454189506656,2024.0,byron young,byron young,byron young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0036204,0.0,Falcons,-0.03880498761,47.10%,LaCale London,DT,0.0880971025841816,2024.0,lacale london,lacale london,lacale london,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0039609,0.0,Falcons,-0.03880498761,47.10%,Kyle Baugh,DT,0.0097885669537979,2024.0,kyle baugh,,kyle baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0039175,0.0,Falcons,-0.03880498761,47.10%,Junior Aho,DT,0.0587314017227877,2024.0,junior aho,junior siavii,junior siavii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0036289,184.9503659217073,Giants,-0.1729829461,17.70%,Ross Blacklock,DT,0.0263116679718089,2024.0,ross blacklock,ross blacklock,ross blacklock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0036642,36.37272686665966,Packers,0.1652537339,61.10%,Tedarrell Slaton,DT,1.2475058731401725,2024.0,tedarrell slaton,terrell mcclain,terrell mcclain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0039269,0.0,Packers,0.1652537339,61.10%,James Ester,DT,0.0880971025841816,2024.0,james ester,jamie meder,jamie meder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0036007,0.0,Panthers,-0.2237786502,29.40%,Raequan Williams,DT,0.1938136256851997,2024.0,raequan williams,raequan williams,raequan williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0039433,15.508361233480178,Patriots,-0.1598290139,23.50%,Marcus Harris,DT,0.0636256851996867,2024.0,marcus harris,marcus harrison,marcus harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0039537,0.0,Raiders,-0.1373166516,23.50%,Tomari Fox,DT,0.1840250587314017,2024.0,tomari fox,,tomari fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0039712,0.0,Raiders,-0.1373166516,23.50%,Tyler Manoa,DT,0.0195771339075959,2024.0,tyler manoa,tyler lancaster,tyler lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0036237,32.250303709786536,Rams,-0.04232456626,57.90%,Larrell Murchison,DT,0.3647873923257635,2024.0,larrell murchison,larrell murchison,larrell murchison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0036788,0.0,Rams,-0.04232456626,57.90%,Jack Heflin,DT,0.0244714173844949,2024.0,jack heflin,jack heflin,jack heflin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0035334,0.0,Rams,-0.04232456626,57.90%,Kevin Strong,DT,0.0328895849647611,2024.0,kevin strong,kevin strong,kevin strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0039955,0.0,Saints,-0.08437242371,29.40%,Camron Peterson,DT,0.1840250587314017,2024.0,camron peterson,,camron peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0039173,0.0,Seahawks,-0.01655071719,58.80%,Kenneth Odumegwu,DT,0.0880971025841816,2024.0,kenneth odumegwu,,kenneth odumegwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0035927,0.0,Steelers,-0.01722587637,55.60%,Breiden Fehoko,DT,0.0723570869224745,2024.0,breiden fehoko,breiden fehoko,breiden fehoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0038708,0.0,Steelers,-0.01722587637,55.60%,Jacob Slade,DT,0.0880971025841816,2024.0,jacob slade,,jacob slade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0037603,0.0,Texans,0.0006868162663,57.90%,Jayden Peevy,DT,0.0440485512920908,2024.0,jayden peevy,jayden peevy,jayden peevy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0031254,0.0,Texans,0.0006868162663,57.90%,Denico Autry,DT,1.7619420516836335,2024.0,denico autry,denico autry,denico autry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0036291,165.28521903155865,Titans,-0.1290081858,17.70%,Marlon Davidson,DT,0.2133907595927956,2024.0,marlon davidson,marlon davidson,marlon davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0036420,83.81081681558317,Titans,-0.1290081858,17.70%,McTelvin Agim,DT,0.0734142521534847,2024.0,mctelvin agim,mctelvin agim,mctelvin agim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0038405,21.48358651296403,Vikings,0.111098585,77.80%,Travis Bell,DT,0.0440485512920908,2024.0,travis bell,travis bell,travis bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
